scen,state,cost,opt_cost,regret,regret_share,offshore_gene,onshore_gene,PV_gene,battery_gene,methanation_gene,LCOE1,LCOE2,LC,str_loss,Price,Regret%,
158,233,22.07,20.88,1.19,0.053919348,56.93,227.67,173.85,6.78,11.61,38,51.92,15.83,6.76,30.25,,
158,234,22.62,21.36,1.26,0.055702918,56.93,227.67,173.85,6.78,11.61,39.01,53.22,15.83,6.76,30.25,,
158,235,22.28,20.05,2.23,0.100089767,56.93,227.67,173.85,8.79,11.87,38.45,52.42,15.46,6.97,22.57,,
158,236,22.83,20.84,1.99,0.08716601,56.93,227.67,173.85,8.79,11.87,39.46,53.72,15.46,6.97,22.57,,
158,237,23.38,21.3,2.08,0.088964927,56.93,227.67,173.85,8.79,11.87,40.47,55.02,15.46,6.97,22.57,,
158,238,22.47,21.15,1.32,0.058744993,56.93,227.67,173.85,6.78,11.61,38.73,52.87,15.83,6.76,26.41,,
158,239,23.02,21.88,1.14,0.049522155,56.93,227.67,173.85,6.78,11.61,39.74,54.17,15.83,6.76,26.41,,
158,240,23.58,22.37,1.21,0.051314673,56.93,227.67,173.85,6.78,11.61,40.75,55.5,15.83,6.76,26.41,,
158,241,22.66,21.77,0.89,0.039276258,56.93,227.67,173.85,6.78,11.61,39.08,53.32,15.83,6.76,30.25,,
158,242,23.21,22.59,0.62,0.026712624,56.93,227.67,173.85,6.78,11.61,40.09,54.62,15.83,6.76,30.25,,
158,243,23.76,23.08,0.68,0.028619529,56.93,227.67,173.85,6.78,11.61,41.1,55.92,15.83,6.76,30.25,,
158,244,23.42,21.85,1.57,0.067036721,56.93,227.67,173.85,8.8,11.87,40.54,55.12,15.46,6.97,22.58,,
158,245,23.97,22.59,1.38,0.057571965,56.93,227.67,173.85,8.8,11.87,41.55,56.42,15.46,6.97,22.58,,
158,246,24.52,23.08,1.44,0.058727569,56.93,227.67,173.85,8.8,11.87,42.57,57.72,15.46,6.97,22.58,,
158,247,23.61,22.68,0.93,0.039390089,56.93,227.67,173.85,6.78,11.61,40.83,55.57,15.83,6.76,26.41,,
158,248,24.17,23.46,0.71,0.029375259,56.93,227.67,173.85,6.78,11.61,41.84,56.89,15.83,6.76,26.41,,
158,249,24.72,23.95,0.77,0.031148867,56.93,227.67,173.85,6.78,11.61,42.84,58.19,15.83,6.76,26.41,,
158,250,23.8,23.11,0.69,0.028991597,56.93,227.67,173.85,6.78,11.61,41.17,56.02,15.83,6.76,30.25,,
158,251,24.35,23.97,0.38,0.015605749,56.93,227.67,173.85,6.78,11.61,42.18,57.32,15.83,6.76,30.25,,
158,252,24.9,24.5,0.4,0.016064257,56.93,227.67,173.85,6.78,11.61,43.19,58.62,15.83,6.76,30.25,,
158,253,24.56,23.33,1.23,0.050081433,56.93,227.67,173.85,8.82,11.88,42.64,57.82,15.46,6.97,22.65,,
158,254,25.11,24.08,1.03,0.041019514,56.93,227.67,173.85,8.82,11.88,43.65,59.12,15.46,6.97,22.65,,
158,255,25.66,24.55,1.11,0.043257989,56.93,227.67,173.85,8.82,11.88,44.66,60.42,15.46,6.97,22.65,,
158,256,24.76,23.93,0.83,0.033521809,56.93,227.67,173.85,6.78,11.61,42.92,58.29,15.83,6.76,26.41,,
158,257,25.31,24.76,0.55,0.021730541,56.93,227.67,173.85,6.78,11.61,43.93,59.59,15.83,6.76,26.41,,
158,258,25.86,25.27,0.59,0.022815159,56.93,227.67,173.85,6.78,11.61,44.94,60.89,15.83,6.76,26.41,,
158,259,24.94,24.24,0.7,0.028067362,56.93,227.67,173.85,6.78,11.61,43.26,58.72,15.83,6.76,30.25,,
158,260,25.49,25.13,0.36,0.014123186,56.93,227.67,173.85,6.78,11.61,44.27,60.02,15.83,6.76,30.25,,
158,261,26.05,25.68,0.37,0.014203455,56.93,227.67,173.85,6.78,11.61,45.28,61.34,15.83,6.76,30.25,,
158,262,25.7,24.54,1.16,0.045136187,56.93,227.67,173.85,8.82,11.88,44.73,60.51,15.46,6.97,22.64,,
158,263,26.25,25.32,0.93,0.035428571,56.93,227.67,173.85,8.82,11.88,45.75,61.82,15.46,6.97,22.64,,
158,264,26.8,25.83,0.97,0.03619403,56.93,227.67,173.85,8.82,11.88,46.76,63.12,15.46,6.97,22.64,,
158,265,25.9,24.99,0.91,0.035135135,56.93,227.67,173.85,6.78,11.61,45.01,60.99,15.83,6.76,26.41,,
158,266,26.45,25.86,0.59,0.022306238,56.93,227.67,173.85,6.78,11.61,46.02,62.29,15.83,6.76,26.41,,
158,267,27,26.4,0.6,0.022222222,56.93,227.67,173.85,6.78,11.61,47.03,63.59,15.83,6.76,26.41,,
158,268,26.08,25.23,0.85,0.032592025,56.93,227.67,173.85,6.78,11.61,45.35,61.41,15.83,6.76,30.25,,
158,269,26.64,26.13,0.51,0.019144144,56.93,227.67,173.85,6.78,11.61,46.36,62.74,15.83,6.76,30.25,,
158,270,27.19,26.68,0.51,0.018756896,56.93,227.67,173.85,6.78,11.61,47.37,64.04,15.83,6.76,30.25,,
158,271,21.72,18.79,2.93,0.134898711,56.93,227.67,173.85,8.79,11.87,37.43,51.09,15.46,6.97,22.58,,
158,272,22.27,19.61,2.66,0.119443197,56.93,227.67,173.85,8.79,11.87,38.44,52.39,15.46,6.97,22.58,,
158,273,22.82,20.11,2.71,0.118755478,56.93,227.67,173.85,8.79,11.87,39.45,53.7,15.46,6.97,22.58,,
158,274,21.92,20.02,1.9,0.086678832,56.93,227.67,173.85,6.78,11.61,37.72,51.57,15.83,6.76,26.41,,
