scen,offshore,onshore,pv,battery,methanation,offshore,onshore,pv,battery,methanation
101,143.9889646,112.2098103,29.89909335,5.316987546,143.4108636,-25%,central,-25%,-50%,central
102,143.9889646,112.2098103,29.89909335,5.316987546,215.1162955,-25%,central,-25%,-50%,50%
103,143.9889646,112.2098103,29.89909335,10.63397509,71.70543182,-25%,central,-25%,central,-50%
104,143.9889646,112.2098103,29.89909335,10.63397509,143.4108636,-25%,central,-25%,central,central
105,143.9889646,112.2098103,29.89909335,10.63397509,215.1162955,-25%,central,-25%,central,50%
106,143.9889646,112.2098103,29.89909335,15.95096264,71.70543182,-25%,central,-25%,50%,-50%
107,143.9889646,112.2098103,29.89909335,15.95096264,143.4108636,-25%,central,-25%,50%,central
108,143.9889646,112.2098103,29.89909335,15.95096264,215.1162955,-25%,central,-25%,50%,50%
109,143.9889646,112.2098103,39.23139049,5.316987546,71.70543182,-25%,central,central,-50%,-50%
110,143.9889646,112.2098103,39.23139049,5.316987546,143.4108636,-25%,central,central,-50%,central
111,143.9889646,112.2098103,39.23139049,5.316987546,215.1162955,-25%,central,central,-50%,50%
112,143.9889646,112.2098103,39.23139049,10.63397509,71.70543182,-25%,central,central,central,-50%
113,143.9889646,112.2098103,39.23139049,10.63397509,143.4108636,-25%,central,central,central,central
114,143.9889646,112.2098103,39.23139049,10.63397509,215.1162955,-25%,central,central,central,50%
115,143.9889646,112.2098103,39.23139049,15.95096264,71.70543182,-25%,central,central,50%,-50%
116,143.9889646,112.2098103,39.23139049,15.95096264,143.4108636,-25%,central,central,50%,central
117,143.9889646,112.2098103,39.23139049,15.95096264,215.1162955,-25%,central,central,50%,50%
118,143.9889646,112.2098103,48.56368762,5.316987546,71.70543182,-25%,central,25%,-50%,-50%
119,143.9889646,112.2098103,48.56368762,5.316987546,143.4108636,-25%,central,25%,-50%,central
120,143.9889646,112.2098103,48.56368762,5.316987546,215.1162955,-25%,central,25%,-50%,50%
121,143.9889646,112.2098103,48.56368762,10.63397509,71.70543182,-25%,central,25%,central,-50%
122,143.9889646,112.2098103,48.56368762,10.63397509,143.4108636,-25%,central,25%,central,central
123,143.9889646,112.2098103,48.56368762,10.63397509,215.1162955,-25%,central,25%,central,50%
124,143.9889646,112.2098103,48.56368762,15.95096264,71.70543182,-25%,central,25%,50%,-50%
125,143.9889646,112.2098103,48.56368762,15.95096264,143.4108636,-25%,central,25%,50%,central
126,143.9889646,112.2098103,48.56368762,15.95096264,215.1162955,-25%,central,25%,50%,50%
127,143.9889646,112.2098103,57.89598475,5.316987546,71.70543182,-25%,central,50%,-50%,-50%
128,143.9889646,112.2098103,57.89598475,5.316987546,143.4108636,-25%,central,50%,-50%,central
129,143.9889646,112.2098103,57.89598475,5.316987546,215.1162955,-25%,central,50%,-50%,50%
130,143.9889646,112.2098103,57.89598475,10.63397509,71.70543182,-25%,central,50%,central,-50%
131,143.9889646,112.2098103,57.89598475,10.63397509,143.4108636,-25%,central,50%,central,central
132,143.9889646,112.2098103,57.89598475,10.63397509,215.1162955,-25%,central,50%,central,50%
133,143.9889646,112.2098103,57.89598475,15.95096264,71.70543182,-25%,central,50%,50%,-50%
134,143.9889646,112.2098103,57.89598475,15.95096264,143.4108636,-25%,central,50%,50%,central
135,143.9889646,112.2098103,57.89598475,15.95096264,215.1162955,-25%,central,50%,50%,50%
136,191.3995384,112.2098103,20.5668,5.316987546,71.70543182,central,central,-50%,-50%,-50%
137,191.3995384,112.2098103,20.5668,5.316987546,143.4108636,central,central,-50%,-50%,central
138,191.3995384,112.2098103,20.5668,5.316987546,215.1162955,central,central,-50%,-50%,50%
139,191.3995384,112.2098103,20.5668,10.63397509,71.70543182,central,central,-50%,central,-50%
140,191.3995384,112.2098103,20.5668,10.63397509,143.4108636,central,central,-50%,central,central
141,191.3995384,112.2098103,20.5668,10.63397509,215.1162955,central,central,-50%,central,50%
142,191.3995384,112.2098103,20.5668,15.95096264,71.70543182,central,central,-50%,50%,-50%
143,191.3995384,112.2098103,20.5668,15.95096264,143.4108636,central,central,-50%,50%,central
144,191.3995384,112.2098103,20.5668,15.95096264,215.1162955,central,central,-50%,50%,50%
145,191.3995384,112.2098103,29.89909335,5.316987546,71.70543182,central,central,-25%,-50%,-50%
146,191.3995384,112.2098103,29.89909335,5.316987546,143.4108636,central,central,-25%,-50%,central
147,191.3995384,112.2098103,29.89909335,5.316987546,215.1162955,central,central,-25%,-50%,50%
148,191.3995384,112.2098103,29.89909335,10.63397509,71.70543182,central,central,-25%,central,-50%
149,191.3995384,112.2098103,29.89909335,10.63397509,143.4108636,central,central,-25%,central,central
150,191.3995384,112.2098103,29.89909335,10.63397509,215.1162955,central,central,-25%,central,50%
151,191.3995384,112.2098103,29.89909335,15.95096264,71.70543182,central,central,-25%,50%,-50%
152,191.3995384,112.2098103,29.89909335,15.95096264,143.4108636,central,central,-25%,50%,central
153,191.3995384,112.2098103,29.89909335,15.95096264,215.1162955,central,central,-25%,50%,50%
