"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"47",0.1334625696,1.2750369E+1,0.0000000000,3.6167355750,0.0000000000,2.4468478E+1,2.4468478E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0969045E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"48",0.1299103340,1.2874851E+1,0.0000000000,3.4410207000,1.2855000E+1,1.2045811E+1,1.2045811E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.1346593E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"49",0.1359998783,1.2933495E+1,0.0000000000,3.3647529750,1.3165445135,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,7.5197945940,0.0000000000,0.0000000000,5.0112272E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,8.6293747E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"50",0.1598506044,1.2785704E+1,0.0000000000,3.0365026500,5.4518567793,7.7766082686,7.7766082686,0.0000000000,0.0000000000,1.8687046E+1,0.0000000000,0.0000000000,4.7897568E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.8378174E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"51",0.2273430818,1.2716235E+1,0.0000000000,2.8443378750,5.4477546912,8.3477690767,8.3477690767,0.0000000000,0.0000000000,1.8687046E+1,0.0000000000,0.0000000000,4.8270485E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8707599E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"52",0.2867161645,1.2927086E+1,0.0000000000,2.5437532500,1.2855000E+1,1.1926959880,1.1926959880,0.0000000000,0.0000000000,1.8687046E+1,0.0000000000,0.0000000000,4.8492298E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.9037025E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"53",0.2775818427,1.3064052E+1,0.0000000000,2.4024336000,5.4375392607,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,3.1758690800,0.0000000000,0.0000000000,4.9199161E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.9366450E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"54",0.2694624479,1.3060824E+1,0.0000000000,2.3598134250,0.0000000000,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,9.6975534626,0.0000000000,0.0000000000,5.0229338E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.6023430E+1,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"55",0.3009251071,1.3253663E+1,2.1595589616,2.3979473250,1.2699091E+1,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.5652871E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
"56",0.3425370079,1.2834779E+1,1.7305398E+1,2.7119909250,1.8544907136,2.4841685E+1,2.4841685E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.9890881E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.8154789628,6.9600000E+1,1.0560000E+1,1.6313564E+4,0.0000000000,1.1424761E+2,1.1424761E+2
