"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"26",0.0000000000,3.9310546E+1,0.0000000000,2.3321476500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1906138E+1,0.0000000000,0.0000000000,0.0000000000,-0.973656E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0399974E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"27",0.0000000000,3.8308419E+1,0.0000000000,2.1654054750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1549331E+1,0.0000000000,0.0000000000,0.0000000000,-0.892449E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0407763E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"28",0.0000000000,3.8121714E+1,0.0000000000,2.1459646500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1287389E+1,0.0000000000,0.0000000000,0.0000000000,-0.898029E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0414903E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"29",0.0000000000,3.7187863E+1,0.0000000000,2.1698918250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.0085701E+1,0.0000000000,0.0000000000,0.0000000000,-0.927205E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0422087E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"30",0.0000000000,3.5068920E+1,0.0000000000,2.2282142250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1403886E+1,0.0000000000,0.0000000000,0.0000000000,-0.589325E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0429504E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"31",0.0000000000,3.2492558E+1,1.1479504827,2.3284090500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5167604E+1,0.0000000000,0.0000000000,0.0000000000,-0.801313840,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0434219E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"32",0.0000000000,2.8400710E+1,1.1364274E+1,2.4951513000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.5826121E+1,0.0000000000,0.0000000000,0.0000000000,-0.643401E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0434860E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"33",0.0000000000,2.3624159E+1,2.3946269E+1,2.8764899250,0.0000000000,0.0000000000,0.0000000000,0.0342008191,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.9428769E+1,0.0000000000,0.0000000000,0.0000000000,-1.105235E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0440007E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"34",0.0000000000,2.1906730E+1,3.7319113E+1,3.2174515500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.1427205E+1,0.0000000000,0.0000000000,0.0000000000,-1.101609E+1,0.0000000000,7.3827385E+1,6.9561999E+1,1.0560000E+1,1.0448849E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"35",0.0000000000,2.2309294E+1,4.5455233E+1,3.4395252750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.5940387E+1,-0.040000958,-0.040000958,0.0000000000,-1.522366E+1,0.0000000000,7.3827385E+1,6.9561999E+1,1.0560000E+1,1.0457662E+4,0.0000000000,3.3575833E+1,3.3575833E+1
"36",0.0000000000,2.2488023E+1,4.6925807E+1,3.7296417750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.9579948E+1,0.0000000000,0.0000000000,0.0000000000,-1.356352E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0469841E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"37",0.0000000000,2.2744222E+1,4.0795877E+1,3.6414104250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.7831969E+1,0.0000000000,0.0000000000,0.0000000000,-0.934954E+1,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0480692E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"38",0.0000000000,2.2399873E+1,2.9179076E+1,3.3056829000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.4266645E+1,0.0000000000,0.0000000000,0.0000000000,-0.617986682,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0488171E+4,0.0000000000,3.9269981E+1,3.9269981E+1
"39",0.0000000000,2.3916963E+1,9.8572405129,2.9714507250,0.0000000000,6.2986212592,6.2986212592,0.0000000000,0.0000000000,0.0000000000,7.8106343172,0.0000000000,5.0854910E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0488666E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"40",0.0000000000,2.5278801E+1,0.0416321484,3.0723933000,0.0000000000,1.1812410E+1,1.1812410E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0205237E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0473045E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"41",0.0000000000,2.4179818E+1,0.0000000000,3.3826983000,0.0000000000,1.3019678E+1,1.3019678E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.0582194E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0473045E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"42",0.0000000000,2.1588241E+1,0.0000000000,3.7827300750,0.0000000000,5.3608692113,5.3608692113,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,4.5955505E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0473045E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"43",0.0000000000,1.8797900E+1,0.0000000000,4.1311689000,1.2855000E+1,5.6736802978,5.6736802978,0.0000000000,0.0000000000,0.0000000000,7.8278962245,0.0000000000,4.9285646E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0442597E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"44",0.0000000000,1.6422693E+1,0.0000000000,4.0593875250,8.1655801431,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,4.3871325E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0426941E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"45",0.0000000000,1.4851156E+1,0.0000000000,3.8223594000,5.5265097252,3.7457659158,3.7457659158,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,4.3169456E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0396494E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"46",0.0000000000,1.3873030E+1,0.0000000000,3.6832829250,0.0000000000,1.1502908E+1,1.1502908E+1,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,4.4282885E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0366047E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"47",0.0000000000,1.3619295E+1,0.0000000000,3.6167355750,8.5093498451,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,4.0969045E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0335599E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"48",0.0000000000,1.3752261E+1,0.0000000000,3.4410207000,7.2387966464,0.0000000000,0.0000000000,0.0000000000,1.6908500976,0.0000000000,1.5223665E+1,0.0000000000,4.1346593E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,1.0560000E+1,1.0305152E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"49",0.0000000000,1.3814902E+1,0.0000000000,3.3647529750,0.0000000000,1.7708953E+1,1.7708953E+1,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,5.0112272E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,8.6812776694,1.0274705E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"50",0.0000000000,1.3657039E+1,0.0000000000,3.0365026500,7.9846588750,2.3219368E+1,2.3219368E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,4.7897568E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,8.6812776694,1.0244257E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"51",0.0000000000,1.3582835E+1,0.0000000000,2.8443378750,0.7848813583,2.3219368E+1,2.3219368E+1,0.0000000000,0.0000000000,0.0000000000,7.8390629878,0.0000000000,4.8270485E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,8.6812776694,1.0244257E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"52",0.0000000000,1.3808056E+1,0.0000000000,2.5437532500,0.0000000000,1.6916824E+1,1.6916824E+1,0.0000000000,0.0000000000,0.0000000000,1.5223665E+1,0.0000000000,4.8492298E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,8.6812776694,1.0228579E+4,0.0000000000,1.0725410E+2,1.0725410E+2
"53",0.0000000000,1.3954356E+1,0.0000000000,2.4024336000,5.4601829702,2.3219368E+1,2.3219368E+1,2.7000000000,0.0000000000,0.0000000000,1.4628201915,0.0000000000,4.9199161E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,7.3827385E+1,6.9600000E+1,8.6812776694,1.0198132E+4,0.0000000000,1.0817495E+2,1.0725410E+2
