"hour","offshore","onshore","pv","river","lake","biogas","gas","phs1","phs2","battery","hydrogen","methanation","demand","Pump1","Pump2","ElecStr","H2","CH4","Bat_SOC","PHS1_SOC","PHS2_SOC","H2_SOC","CH4_SOC","elec_price","gas_price"
"23",1.1920688E+1,3.3695487E+1,0.0000000000,3.5935561500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1301244E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.0260843E+2,4.7454763E+1,2.0330000000,0.0000000000,2.9246257E+3,0.0000000000,0.0000000000
"24",1.1445097E+1,3.2350875E+1,0.0000000000,3.2540900250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.2152517E+1,-0.203000E+1,-0.203000E+1,-0.626533E+1,0.0000000000,-0.660222E+1,1.0260843E+2,4.9383263E+1,4.0660000000,0.0000000000,2.9285210E+3,0.0000000000,0.0000000000
"25",1.1071758E+1,3.1506852E+1,0.0000000000,2.7067568250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0896248711,0.0000000000,0.0000000000,0.0000000000,3.4469008E+1,-0.203000E+1,-0.203000E+1,-0.227377E+1,0.0000000000,-0.660222E+1,1.0824722E+2,5.1311763E+1,4.0660000000,0.0000000000,2.9324163E+3,0.0000000000,0.0000000000
"26",1.0686529E+1,3.0722182E+1,0.0000000000,2.3321476500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1906138E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.1029361E+2,5.3240263E+1,3.9664168099,0.0000000000,2.9363116E+3,0.0000000000,0.0000000000
"27",1.0382151E+1,2.9938994E+1,0.0000000000,2.1654054750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1549331E+1,-0.203000E+1,-0.203000E+1,-0.230500E+1,0.0000000000,-0.660222E+1,1.1029361E+2,5.5168763E+1,5.9994168099,0.0000000000,2.9402069E+3,0.0000000000,0.0000000000
"28",9.9921665857,2.9793080E+1,0.0000000000,2.1459646500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2.2400000000,0.0000000000,0.0000000000,0.0000000000,3.1287389E+1,-0.203000E+1,-0.203000E+1,-0.425160E+1,0.0000000000,-0.660222E+1,1.1236811E+2,5.7097263E+1,5.9994168099,0.0000000000,2.9441022E+3,0.0000000000,0.0000000000
"29",9.4381030932,2.9063252E+1,0.0000000000,2.1698918250,0.0000000000,0.0000000000,0.0000000000,0.1866722461,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.0085701E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.1619455E+2,5.9025763E+1,3.5105279210,0.0000000000,2.9479975E+3,0.0000000000,0.0000000000
"30",8.6676457026,2.7407245E+1,0.0000000000,2.2282142250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.1403886E+1,-0.297000941,-0.297000941,0.0000000000,0.0000000000,-0.660222E+1,1.1619455E+2,6.0746849E+1,5.5435279210,0.0000000000,2.9518929E+3,0.0000000000,0.0000000000
"31",7.7592669145,2.5393753E+1,1.2607417041,2.3284090500,0.0000000000,0.0000000000,0.0000000000,2.7000000000,2.2400000000,0.0876513549,0.0000000000,0.0000000000,3.5167604E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.660222E+1,1.1619455E+2,6.1029000E+1,5.5435279210,0.0000000000,2.9557882E+3,2.1000000000,2.1000000000
"32",6.7224785724,2.2195870E+1,1.2480864E+1,2.4951513000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5639751289,0.0000000000,0.0000000000,0.0000000000,3.5826121E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.1610229E+2,5.8029000E+1,3.0546390321,0.0000000000,2.9596835E+3,0.0000000000,0.0000000000
"33",5.2505244650,1.8462875E+1,2.6299096E+1,2.8764899250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.9428769E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.1610229E+2,5.9957500E+1,2.4280000000,0.0000000000,2.9635788E+3,0.0000000000,0.0000000000
"34",3.7690585473,1.7120661E+1,4.0985881E+1,3.2174515500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.1427205E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.1610229E+2,6.1886000E+1,4.4610000000,0.0000000000,2.9674741E+3,0.0000000000,0.0000000000
"35",2.7798293061,1.7435275E+1,4.9921411E+1,3.4395252750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.5940387E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.1610229E+2,6.3814500E+1,6.4940000000,0.0000000000,2.9713694E+3,0.0000000000,0.0000000000
"36",2.1877185229,1.7574956E+1,5.1536475E+1,3.7296417750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.9579948E+1,-0.203000E+1,-0.203000E+1,0.0000000000,0.0000000000,-0.660222E+1,1.1610229E+2,6.5743000E+1,8.5270000000,0.0000000000,2.9752647E+3,0.0000000000,0.0000000000
"37",2.0497971421,1.7775182E+1,4.4804252E+1,3.6414104250,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.7831969E+1,-0.203000E+1,-0.203000E+1,-0.180646E+1,0.0000000000,-0.660222E+1,1.1610229E+2,6.7671500E+1,1.0560000E+1,0.0000000000,2.9791600E+3,0.0000000000,0.0000000000
"38",2.1068680698,1.7506065E+1,3.2046050E+1,3.3056829000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,5.4266645E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.698020372,1.1772810E+2,6.9600000E+1,1.0560000E+1,0.0000000000,2.9830553E+3,3.6611084E+1,3.6611084E+1
"39",2.2828367246,1.8691709E+1,1.0825758E+1,2.9714507250,5.1556444535,0.0000000000,8.2275108323,2.7000000000,0.0000000000,0.0000000000,0.0000000000,8.2275108323,5.0854910E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.1772810E+2,6.9600000E+1,1.0560000E+1,0.0000000000,2.9834672E+3,1.4333886E+2,1.4333886E+2
"40",2.2899705989,1.9756020E+1,0.0457226915,3.0723933000,5.2727908598,0.0000000000,9.7683396348,0.0000000000,0.0000000000,0.0000000000,0.0000000000,9.7683396348,4.0205237E+1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.1772810E+2,6.6600000E+1,1.0560000E+1,0.0000000000,2.9651838E+3,1.4333886E+2,1.4333886E+2
